prefix;date;station_name;value;value_flu;read_value_flu;transmission_type_name;qtd_measurements;max_value
62776800;2022-08-13 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.576.344.086.021.500;11.576.344.086.021.500;1.917.494.623.655.910;WEBSERVICE;93;120.0
62776800;2022-08-14 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.278.571.428.571.400;11.278.571.428.571.400;18.058.095.238.095.200;WEBSERVICE;84;118.0
62776800;2022-08-15 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.744.791.666.666.600;11.744.791.666.666.600;19.808.020.833.333.300;WEBSERVICE;96;119.0
62776800;2022-08-16 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.586.458.333.333.300;11.586.458.333.333.300;1.919.937.500.000.000;WEBSERVICE;96;117.0
62776800;2022-08-17 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.903.125;10.903.125;16.693.645.833.333.300;WEBSERVICE;96;117.0
62776800;2022-08-18 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.377.083.333.333.300;10.377.083.333.333.300;1.484.624.999.999.990;WEBSERVICE;96;106.0
62776800;2022-08-19 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.038.125;1.038.125;14.860.312.499.999.900;WEBSERVICE;96;106.0
62776800;2022-08-20 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.523.958.333.333.300;10.523.958.333.333.300;15.359.374.999.999.900;WEBSERVICE;96;111.0
62776800;2022-08-21 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.953.125;10.953.125;16.860.833.333.333.300;WEBSERVICE;96;115.0
62776800;2022-08-22 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.265.625;10.265.625;14.476.458.333.333.300;WEBSERVICE;96;107.0
62776800;2022-08-23 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.145.833.333.333.300;10.145.833.333.333.300;14.093.437.499.999.900;WEBSERVICE;96;111.0
62776800;2022-08-24 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.135.416.666.666.600;10.135.416.666.666.600;14.054.895.833.333.300;WEBSERVICE;96;111.0
62776800;2022-08-25 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.159.375;10.159.375;1.413.114.583.333.330;WEBSERVICE;96;113.0
62776800;2022-08-26 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;109.375;109.375;1.680.552.083.333.330;WEBSERVICE;96;113.0
62776800;2022-08-27 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.089.583.333.333.300;11.089.583.333.333.300;17.348.333.333.333.300;WEBSERVICE;96;115.0
62776800;2022-08-28 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.386.458.333.333.300;10.386.458.333.333.300;14.908.645.833.333.300;WEBSERVICE;96;115.0
62776800;2022-08-29 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;9.988.541.666.666.660;9.988.541.666.666.660;1.356.854.166.666.660;WEBSERVICE;96;105.0
62776800;2022-08-30 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;9.944.791.666.666.660;9.944.791.666.666.660;13.425.312.499.999.900;WEBSERVICE;96;102.0
62776800;2022-08-31 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.498.958.333.333.300;10.498.958.333.333.300;1.526.885.416.666.660;WEBSERVICE;96;109.0
62776800;2022-09-01 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.259.375;10.259.375;14.465.208.333.333.300;WEBSERVICE;96;108.0
62776800;2022-09-02 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;9.890.625;9.890.625;13.255.937.500.000.000;WEBSERVICE;96;101.0
62776800;2022-09-03 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;9.910.416.666.666.660;9.910.416.666.666.660;13.317.083.333.333.300;WEBSERVICE;96;102.0
62776800;2022-09-04 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;9.966.666.666.666.660;9.966.666.666.666.660;13.496.666.666.666.600;WEBSERVICE;96;102.0
62776800;2022-09-05 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;9.840.625;9.840.625;1.309.687.500.000.000;WEBSERVICE;96;100.0
62776800;2022-09-06 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;9.878.125;9.878.125;13.214.791.666.666.600;WEBSERVICE;96;100.0
62776800;2022-09-07 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.121.875;10.121.875;14.107.395.833.333.300;WEBSERVICE;96;128.0
62776800;2022-09-08 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;117.0;117.0;1.965.739.583.333.330;WEBSERVICE;96;123.0
62776800;2022-09-09 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.228.125;1.228.125;21.946.145.833.333.300;WEBSERVICE;96;124.0
62776800;2022-09-10 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.488.541.666.666.600;11.488.541.666.666.600;1.884.239.583.333.330;WEBSERVICE;96;121.0
62776800;2022-09-11 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.232.291.666.666.600;11.232.291.666.666.600;17.869.999.999.999.900;WEBSERVICE;96;115.0
62776800;2022-09-12 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.978.125;10.978.125;1.696.187.499.999.990;WEBSERVICE;96;116.0
62776800;2022-09-13 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.089.583.333.333.300;10.089.583.333.333.300;13.893.958.333.333.300;WEBSERVICE;96;104.0
62776800;2022-09-14 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.870.833.333.333.300;10.870.833.333.333.300;16.604.583.333.333.300;WEBSERVICE;96;117.0
62776800;2022-09-15 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.702.083.333.333.300;11.702.083.333.333.300;19.641.770.833.333.300;WEBSERVICE;96;118.0
62776800;2022-09-16 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.458.333.333.333.300;11.458.333.333.333.300;18.713.958.333.333.300;WEBSERVICE;96;116.0
62776800;2022-09-17 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.220.833.333.333.300;11.220.833.333.333.300;1.783.041.666.666.660;WEBSERVICE;96;116.0
62776800;2022-09-18 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.710.752.688.172.000;10.710.752.688.172.000;15.998.602.150.537.600;WEBSERVICE;93;112.0
62776800;2022-09-19 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.579.166.666.666.600;10.579.166.666.666.600;1.554.864.583.333.330;WEBSERVICE;96;117.0
62776800;2022-09-20 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.990.625;10.990.625;16.991.562.499.999.900;WEBSERVICE;96;114.0
62776800;2022-09-21 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.452.083.333.333.300;11.452.083.333.333.300;18.691.249.999.999.900;WEBSERVICE;96;119.0
62776800;2022-09-22 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.491.666.666.666.600;11.491.666.666.666.600;1.894.385.416.666.660;WEBSERVICE;96;135.0
62776800;2022-09-23 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;12.084.375;12.084.375;2.115.479.166.666.660;WEBSERVICE;96;123.0
62776800;2022-09-24 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;12.175.675.675.675.600;12.175.675.675.675.600;2.151.918.918.918.910;WEBSERVICE;37;123.0
62776800;2022-09-25 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.771.428.571.428.500;11.771.428.571.428.500;19.917.142.857.142.800;WEBSERVICE;84;122.0
62776800;2022-09-26 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.803.125;11.803.125;2.003.218.749.999.990;WEBSERVICE;96;119.0
62776800;2022-09-27 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.866.666.666.666.600;11.866.666.666.666.600;20.282.708.333.333.300;WEBSERVICE;96;120.0
62776800;2022-09-28 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.326.041.666.666.600;11.326.041.666.666.600;18.225.312.500.000.000;WEBSERVICE;96;119.0
62776800;2022-09-29 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.148.125;1.148.125;18.809.999.999.999.900;WEBSERVICE;96;119.0
62776800;2022-09-30 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.759.375;11.759.375;19.872.499.999.999.900;WEBSERVICE;96;120.0
62776800;2022-10-01 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.864.583.333.333.300;11.864.583.333.333.300;20.272.708.333.333.300;WEBSERVICE;96;120.0
62776800;2022-10-02 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;12.154.166.666.666.600;12.154.166.666.666.600;2.143.218.749.999.990;WEBSERVICE;96;123.0
62776800;2022-10-03 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.514.583.333.333.300;11.514.583.333.333.300;18.937.916.666.666.600;WEBSERVICE;96;121.0
62776800;2022-10-04 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.096.875;1.096.875;16.908.437.499.999.900;WEBSERVICE;96;113.0
62776800;2022-10-05 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.060.416.666.666.600;11.060.416.666.666.600;17.244.999.999.999.900;WEBSERVICE;96;117.0
62776800;2022-10-06 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.537.894.736.842.100;11.537.894.736.842.100;1.901.505.263.157.890;WEBSERVICE;95;118.0
62776800;2022-10-07 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.334.375;11.334.375;18.254.270.833.333.300;WEBSERVICE;96;118.0
62776800;2022-10-08 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;119.875;119.875;2.077.145.833.333.320;WEBSERVICE;96;122.0
62776800;2022-10-09 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.236.875;1.236.875;22.309.062.499.999.900;WEBSERVICE;96;126.0
62776800;2022-10-10 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.729.166.666.666.600;11.729.166.666.666.600;19.774.479.166.666.600;WEBSERVICE;96;123.0
62776800;2022-10-11 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.084.375;11.084.375;1.732.833.333.333.330;WEBSERVICE;96;113.0
62776800;2022-10-12 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.690.625;10.690.625;15.923.020.833.333.300;WEBSERVICE;96;110.0
62776800;2022-10-13 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.905.208.333.333.300;10.905.208.333.333.300;16.679.062.500.000.000;WEBSERVICE;96;111.0
62776800;2022-10-14 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.571.875;10.571.875;15.512.916.666.666.600;WEBSERVICE;96;109.0
62776800;2022-10-15 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.347.916.666.666.600;10.347.916.666.666.600;14.749.270.833.333.300;WEBSERVICE;96;107.0
62776800;2022-10-16 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.326.041.666.666.600;10.326.041.666.666.600;14.681.249.999.999.900;WEBSERVICE;96;107.0
62776800;2022-10-17 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.451.578.947.368.400;10.451.578.947.368.400;1.512.726.315.789.470;WEBSERVICE;95;112.0
62776800;2022-10-18 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.241.666.666.666.600;11.241.666.666.666.600;1.790.458.333.333.330;WEBSERVICE;96;115.0
62776800;2022-10-19 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;110.875;110.875;1.733.635.416.666.660;WEBSERVICE;96;113.0
62776800;2022-10-20 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.070.833.333.333.300;11.070.833.333.333.300;1.733.208.333.333.330;WEBSERVICE;96;124.0
62776800;2022-10-21 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.085.416.666.666.600;11.085.416.666.666.600;17.329.375.000.000.000;WEBSERVICE;96;113.0
62776800;2022-10-22 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;114.875;114.875;18.825.104.166.666.600;WEBSERVICE;96;118.0
62776800;2022-10-23 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.892.708.333.333.300;11.892.708.333.333.300;2.038.625;WEBSERVICE;96;121.0
